directory,files,empty_files,bytes,summary_files,empty_summary_files
celeba_aux12000_control_seed2027,1039,0,188835190,1,0
celeba_aux12000_control_seed2028,1039,0,188830225,1,0
celeba_aux12000_control_seed2029,1039,0,188840576,1,0
celeba_aux12000_defended_seed2027,1039,0,188816352,1,0
celeba_aux12000_defended_seed2028,1039,0,188797631,1,0
celeba_aux12000_defended_seed2029,1039,0,188826352,1,0
important_code/results_arch_generalization,3213,836,854436809,12,2
important_code/results_decoder_core_ablation,21198,15365,14612667601,22,1
important_code/results_defense_tradeoff,5081,5034,3762948176,11,6
important_code/results_fair_baselines,1248,1138,907335,23,1
important_code/results_generalization,6406,6293,1260980557,20,6
important_code/results_interface_ablation,21056,21014,3417567,4,4
important_code/results_target_model_seeds,3049,3021,2418986475,7,4
important_code/results_utility_matched,6398,6366,1882680473,8,2
important_code/results_v2,21915,16653,61810099,171,171
lfw_transfer_control_seed2027,1039,418,185697506,1,0
lfw_transfer_control_seed2028,1039,1000,181308945,1,0
lfw_transfer_control_seed2029,1039,0,188813717,1,0
lfw_transfer_defended_seed2028,1039,1035,179449693,1,0
lfw_transfer_defended_seed2029,1039,1035,179449673,1,0
lfw_transfer_smoke_defended_seed2027,1260,1253,179502819,2,0
